Rank,Title,Type,IMDb Rating,Release Years,Blurb,Thumbnail URL,IMDb URL,IMDb Title ID
1,House of the Dragon,TV Series,8.3,2022–,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.","https://m.media-amazon.com/images/M/MV5BZGM4MTczODQtNGIxOC00Y2U2LTk1YmItNzA2N2VhYmE0Y2YwXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt11198330/,tt11198330
2,The Hawk,TV Series,6.3,2026–,"Follows Lonnie Hawkins, 2004's top golfer, as he struggles to recapture his magic late in his career, refusing to believe he's anything other than one stroke away from golf's greatest comeback.","https://m.media-amazon.com/images/M/MV5BNjA5MDAyYjgtMmQ2ZS00YzRmLWE1ODUtNTg3M2VkZGMxZjEwXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt27550719/,tt27550719
3,Little House on the Prairie,TV Series,7.3,2026–,The Ingalls family lives and works on a farm in Midwestern America during the late 19th century.,"https://m.media-amazon.com/images/M/MV5BODQyNzI4Y2EtODE4ZC00MjFjLTg1ZjMtYzJkNDYwZjUxZjQ1XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt2431250/,tt2431250
4,Ride or Die,TV Mini Series,7.7,2026–,"Debbie discovers that her friend of 20 years, Judith, is secretly an assassin. After a hit goes wrong, they go on the run while being targeted by a mysterious enemy, forcing them to confront the secrets between them.","https://m.media-amazon.com/images/M/MV5BMGUxMjFkMDEtNGJkZC00MTUwLWFiZjUtYWZhZWYxNzE1ZDEwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt30494226/,tt30494226
5,I Will Find You,TV Mini Series,7.1,2026,"A father imprisoned for his son's murder receives evidence suggesting his child may be alive, compelling him to escape and uncover the truth.","https://m.media-amazon.com/images/M/MV5BYWFkOGU5ZTYtZTlhMi00NThiLWI3ZDEtMGQ2Y2UzNjlkZTUxXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt34771210/,tt34771210
6,Lucky,TV Series,6.5,2026–,"A reformed criminal is forced to confront her past and return to illicit activities for one final job, hoping to secure her freedom and leave her former life behind for good.","https://m.media-amazon.com/images/M/MV5BOGQ0MjkwOTUtMGMyYS00NzFhLTgxMjktNTAwOGViNWM2MWE1XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt34866681/,tt34866681
7,Silo,TV Series,8.1,2023–,Men and women live in a giant silo underground with several regulations which they believe are in place to protect them from the toxic and ruined world on the surface.,"https://m.media-amazon.com/images/M/MV5BN2E5ODJmOTUtYTk0NS00NmFiLTk0MTgtZDRlNzE1YmExMjk4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt14688458/,tt14688458
8,The Five-Star Weekend,TV Series,7.2,2026–,"A beloved food influencer grappling with loss hosts four friends from different chapters of her life for a weekend on Nantucket, where hidden truths emerge and relationships evolve amid coastal luxury.","https://m.media-amazon.com/images/M/MV5BZDQ1OTIwNTAtYTc0NS00NjRlLThjNTktZmFhYzU1ZTJjMTJjXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt35587659/,tt35587659
9,Widow's Bay,TV Series,8.2,2026–,A skeptical mayor leads the superstitious residents of a cursed New England island.,"https://m.media-amazon.com/images/M/MV5BZDBiMWZlMDQtNzkzMi00YzQzLTkwNTUtNzYwOGY3YmUxNDJjXkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",https://www.imdb.com/title/tt33332385/,tt33332385
10,Game of Thrones,TV Series,9.2,2011–2019,"Noble families vie for control of Westeros and its Iron Throne, while an ancient threat beyond the Wall begins to stir.","https://m.media-amazon.com/images/M/MV5BNGYxOGJkMjItZjVkZC00OGEzLWExNjktOTZmNGZhZmRlMTk2XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0944947/,tt0944947
