Rank,Title,Type,IMDb Rating,Release Years,Blurb,Thumbnail URL,IMDb URL,IMDb Title ID
1,Steel Ball Run: JoJo's Bizarre Adventure,TV Series,9.5,2026–,A paraplegic ex-jockey joins forces with an outlaw to compete in the first cross-continental horse race across North America in the 1800s.,"https://m.media-amazon.com/images/M/MV5BZDFmY2JjYmYtNjZhOC00ODJkLTliMjYtM2Y4YzBjMWE0ZGZjXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt38268282/,tt38268282
2,Cherry and Virgin,Movie,9.3,2026,The 32-year-old erotic manga artist Ryo and 28-year-old BL-lover Ami work past their helplessness with the opposite sex and fall in love.,"https://m.media-amazon.com/images/M/MV5BOGFmZGM3N2EtOGM4ZS00Y2E5LWIxYjItZTk2ZjhiZjNmYTNlXkEyXkFqcGc@._V1_QL75_UX90_CR0,13,90,133_.jpg",https://www.imdb.com/title/tt14576898/,tt14576898
3,Attack on Titan Final Season the Final Chapters,TV Special,9.2,2023,"Eren has started the rumbling and holds the power of the founding titan. Mikasa, Armin, Hange, and the rest of the remaining scouts form up to take down the founder for good.","https://m.media-amazon.com/images/M/MV5BYjA3YmFjZDktY2Q1Ni00NDQ1LTgzYWQtMDA2NDFjMTAwOThlXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt30216340/,tt30216340
4,Attack on Titan,TV Series,9.1,2013–2023,"In a world where humanity shelters behind towering walls from man-eating Titans, a determined teen joins the elite Survey Corps to fight the giants and uncover the secrets of their origin.","https://m.media-amazon.com/images/M/MV5BZjliODY5MzQtMmViZC00MTZmLWFhMWMtMjMwM2I3OGY1MTRiXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt2560140/,tt2560140
5,Fullmetal Alchemist: Brotherhood,TV Series,9.1,2009–2010,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY133_CR3,0,90,133_.jpg",https://www.imdb.com/title/tt1355642/,tt1355642
6,Ramayana: The Legend of Prince Rama,Movie,9.1,1993,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.","https://m.media-amazon.com/images/M/MV5BOTNjNTFhZmMtZGY2YS00OTY4LWI2M2MtNjhhZmJjZTgyNWNjXkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",https://www.imdb.com/title/tt0259534/,tt0259534
7,One Piece,TV Series,9.0,1999–,"Monkey D. Luffy, a pirate with rubber powers, forms the Straw Hat crew and sails the Grand Line, battling rivals and the World Government on a quest for the legendary treasure One Piece and the title of Pirate King.","https://m.media-amazon.com/images/M/MV5BMTNjNGU4NTUtYmVjMy00YjRiLTkxMWUtNzZkMDNiYjZhNmViXkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg",https://www.imdb.com/title/tt0388629/,tt0388629
8,Hunter X Hunter,TV Series,9.0,2011–2014,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.","https://m.media-amazon.com/images/M/MV5BYzYxOTlkYzctNGY2MC00MjNjLWIxOWMtY2QwYjcxZWIwMmEwXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt2098220/,tt2098220
9,Bleach: Thousand-Year Blood War,TV Series,9.0,2022–,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.","https://m.media-amazon.com/images/M/MV5BMjgyM2QzMjAtOGZjOS00OGFkLTkxZGYtMDJjZGM5MzIzYmM3XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt14986406/,tt14986406
10,Attack on Titan: The Last Attack,Movie,9.0,2024,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley.","https://m.media-amazon.com/images/M/MV5BNzVjOWEwYjEtNDJhOC00YjUyLThjMWItMDQwZGY1ODM4YzI3XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt33175825/,tt33175825
